id,sourceLang,targetLang,sourceString,targetString
82,en,ro-RO,diabetes,diabet
83,en,ro-RO,diagnosable disease,boală diagnosticabilă
84,en,ro-RO,diagnostic protocol,protocol de diagnostic
85,en,ro-RO,diagnostic testing,test de diagnostic
86,en,ro-RO,disease itself,boală propriu-zisă
87,en,ro-RO,disease outbreak,focar de boală
88,en,ro-RO,disinfectant,dezinfectant
89,en,ro-RO,disposable,de unică folosință
90,en,ro-RO,droplet transmission,transmitere prin picături
91,en,ro-RO,droplets,picături
92,en,ro-RO,dry cough,tuse seacă
93,en,ro-RO,dry surface contamination,contaminare suprafață uscată
94,en,ro-RO,ebola,ebola
95,en,ro-RO,effective treatment,tratament eficient
96,en,ro-RO,electron microscope,microscop electronic
97,en,ro-RO,emergency department,departament de urgență
98,en,ro-RO,epidemic,epidemiologic
99,en,ro-RO,epidemic curve,curbă epidemiologică
100,en,ro-RO,epidemic peak,vârf epidemiologic
101,en,ro-RO,epidemiologist,epidemiolog
102,en,ro-RO,exposure,expunere
103,en,ro-RO,extreme caution,precauție sporită
104,en,ro-RO,eye protection,ochelari de protecție
105,en,ro-RO,face mask,mască chirurgicală
106,en,ro-RO,face masks,măști chirurgicale
107,en,ro-RO,family cluster,grup familial
108,en,ro-RO,fatality rate,rată de fatalitate
109,en,ro-RO,fecal contamination,contaminare prin materii fecale
110,en,ro-RO,fever,febră
111,en,ro-RO,flatten the infection curve,aplatizarea curbei de infecție
112,en,ro-RO,flu,gripă
113,en,ro-RO,food safety,siguranță alimentară
114,en,ro-RO,formaldehyde,formaldehidă
115,en,ro-RO,gastroenteritis,gastroenterită
116,en,ro-RO,germicide,germicid
117,en,ro-RO,global pandemic,pandemie globală
118,en,ro-RO,global warming,încălzire globală
119,en,ro-RO,good respiratory hygiene,igienă corespunzătoare a sistemului respirator
120,en,ro-RO,Guangdong,Guangdong
121,en,ro-RO,H1N1,H1N1
122,en,ro-RO,H1N1 virus,virusul H1N1
123,en,ro-RO,hand disinfectant,dezinfectant de mâini
124,en,ro-RO,hand sanitizer,dezinfectant de mâini
125,en,ro-RO,health care provider,furnizor de servicii medicale
126,en,ro-RO,health crisis,criză medicală
127,en,ro-RO,health plan carrier,furnizor de asigurări de sănătate
128,en,ro-RO,health services,servicii medicale
129,en,ro-RO,heart failure,insuficiență cardiacă
130,en,ro-RO,high fever,febră ridicată
131,en,ro-RO,HIV,HIV
132,en,ro-RO,hospitalize,spitalizare
133,en,ro-RO,household bleach,înălbitor universal
134,en,ro-RO,Hubei,Hubei
135,en,ro-RO,hydrogen peroxide,apă oxigenată
136,en,ro-RO,hygiene,igienă
137,en,ro-RO,immune system,sistem imunitar
138,en,ro-RO,immunity,imunitate
139,en,ro-RO,immunocompromised,imunocompromis
140,en,ro-RO,immunologist,imunolog
141,en,ro-RO,incubation,incubație
142,en,ro-RO,incubation period,perioadă de incubație
143,en,ro-RO,indirect contact,contact indirect
144,en,ro-RO,infect,infectare
145,en,ro-RO,infection,infecție
146,en,ro-RO,infectious,infecțios
147,en,ro-RO,infectivity,infecțiozitate
148,en,ro-RO,influenza,gripă
149,en,ro-RO,initial transmission event,eveniment de transmitere inițial
150,en,ro-RO,intensive care equipment,echipament pentru terapie intensivă
151,en,ro-RO,intermediate host,gazdă intermediară
152,en,ro-RO,intrauterine,intrauterin
153,en,ro-RO,intubation,intubare
154,en,ro-RO,isolation,izolare
155,en,ro-RO,Isopropanol,izopropanol
156,en,ro-RO,laboratory test kit,set de testare în laborator
157,en,ro-RO,laboratory testing,testare în laborator
158,en,ro-RO,lack of testing,tastare deficitară
159,en,ro-RO,lack of tests,deficit de teste
160,en,ro-RO,latest updates,ultimele noutăți
161,en,ro-RO,liver failure,insuficiență hepatică
162,en,ro-RO,local public health authority,autoritate locală de sănătate publică
163,en,ro-RO,lockdown,carantină
164,en,ro-RO,lungs,plămâni
165,en,ro-RO,masks,măști
166,en,ro-RO,measles,rujeolă
167,en,ro-RO,mechanical ventilation,ventilație mecanică
168,en,ro-RO,media coverage,acoperire mediatică
169,en,ro-RO,medical care,îngrijire medicală
170,en,ro-RO,MERS,sindromul respirator din Orientul Mijlociu
171,en,ro-RO,MERS CoV,coronavirusul sindromului respirator din Orientul Mijlociu
172,en,ro-RO,microbiologist,microbiolog
173,en,ro-RO,mild cough,tuse ușoară
174,en,ro-RO,mortality rate,rata mortalității
175,en,ro-RO,multi-organ failure,insuficiență multiviscerală
176,en,ro-RO,nasal congestion,congestie nazală
177,en,ro-RO,neutral detergent,detergent neutru
178,en,ro-RO,new normal,noua stare a lucrurilor
179,en,ro-RO,novel corona virus,noul corona virus
180,en,ro-RO,novel coronavirus,noul coronavirus
181,en,ro-RO,novel coronavirus outbreak,noul focar de coronavirus
182,en,ro-RO,novel virus,noul virus
183,en,ro-RO,online medical consultation,consultație medicală online
184,en,ro-RO,onset,apariție
185,en,ro-RO,outbreak,epidemie
186,en,ro-RO,outbreak readiness,capacitatea de a face față epidemiei
187,en,ro-RO,overall case fatality,fatalitatea generală a cazurilor
188,en,ro-RO,pandemic,pandemie
189,en,ro-RO,pangolin,pangolin
190,en,ro-RO,pathogen,patogen
191,en,ro-RO,pathology,patologie
192,en,ro-RO,patient care equipment,echipament pentru îngrijirea pacienților
193,en,ro-RO,personal protective equipment,echipament individual de protecție
194,en,ro-RO,person-to-person transmission,transmitere de la persoană la persoană
195,en,ro-RO,phlegm,flegmă
196,en,ro-RO,physical contact,contact fizic
197,en,ro-RO,plague,ciumă
198,en,ro-RO,pneumonia,pneumonie
199,en,ro-RO,pneumonias,cazuri de pneumonie
200,en,ro-RO,positive test,test pozitiv
201,en,ro-RO,precaution,precauție
202,en,ro-RO,precautionary,preventiv
203,en,ro-RO,pre-existing condition,afecțiune preexistentă
204,en,ro-RO,preparedness,nivel de pregătire
205,en,ro-RO,prognosis,prognoză
206,en,ro-RO,protect myself,mă protejez
207,en,ro-RO,protect others,protejarea celorlalți
208,en,ro-RO,protect yourself,protejează-te
209,en,ro-RO,protective measures,măsuri de protecție
210,en,ro-RO,public health crisis,criza sistemului de sănătate publică
211,en,ro-RO,pulmonary tissue damage,deteriorarea țesutului pulmonar
212,en,ro-RO,quarantine,carantină
213,en,ro-RO,rapid risk assessment,evaluarea rapidă a riscului
214,en,ro-RO,reagent,reactiv
215,en,ro-RO,regular flu,gripă obișnuită
216,en,ro-RO,reinfection,reinfectare
217,en,ro-RO,renal disease,boală renală
218,en,ro-RO,renal failure,insuficiență renală
219,en,ro-RO,respirator,respirator
220,en,ro-RO,respiratory,respirator
221,en,ro-RO,respiratory disease,boală a aparatului respirator
222,en,ro-RO,respiratory distress,insuficiență respiratorie
223,en,ro-RO,respiratory droplets,picături de secreții respiratorii
224,en,ro-RO,respiratory hygiene,igiena sistemului respirator
225,en,ro-RO,respiratory illness,boală respiratorie
226,en,ro-RO,respiratory syndrome,sindrom respirator
227,en,ro-RO,respiratory tract disease,boală a tractului respirator
228,en,ro-RO,restrictions,restricții
229,en,ro-RO,resurge,resuscitare
230,en,ro-RO,RNA,RNA
231,en,ro-RO,rubeola,rubeolă
232,en,ro-RO,runny nose,rinoree
233,en,ro-RO,SARS,SARS
234,en,ro-RO,SARS-CoV-2,SARS-CoV-2
235,en,ro-RO,SARS-CoV,SARS-CoV
236,en,ro-RO,sars-related coronavirus,coronavirusul sindromului respirator acut sever
237,en,ro-RO,seasonal flu,gripă sezonieră
238,en,ro-RO,seasonal influenza,gripă sezonieră
239,en,ro-RO,secretion,secreție
240,en,ro-RO,self-quarantine,carantină autoimpusă
241,en,ro-RO,sepsis,septicemie
242,en,ro-RO,septic shock,șoc septic
243,en,ro-RO,Severe Acute Respiratory Syndrome,sindromul respirator acut sever
244,en,ro-RO,shortness of breath,dificultăți de respirație
245,en,ro-RO,sickened,bolnav
246,en,ro-RO,sickness,boală
247,en,ro-RO,sneeze,strănut
248,en,ro-RO,sneezes,strănuturi
249,en,ro-RO,sneezing,strănut
250,en,ro-RO,social distancing,distanțare socială
251,en,ro-RO,sore throat,durere în gât
252,en,ro-RO,spanish flu,gripă spaniolă
253,en,ro-RO,specimen collection,colectare de probe
254,en,ro-RO,spread,răspândire
255,en,ro-RO,sputum,spută
256,en,ro-RO,stigmatisation,stigmatizare
257,en,ro-RO,supportive,încurajator
258,en,ro-RO,surface,suprafață
259,en,ro-RO,surfaces,suprafețe
260,en,ro-RO,suspected infection,suspiciune de infecție
261,en,ro-RO,swab,tampon
262,en,ro-RO,swine flu,gripă porcină
263,en,ro-RO,symptom,simptom
264,en,ro-RO,symptomatic,simptomatic
265,en,ro-RO,symptoms,simptome
266,en,ro-RO,targeted disinfection,dezinfecție organizată
267,en,ro-RO,test kit,set de testare
268,en,ro-RO,testing error,eroare de testare
269,en,ro-RO,tissue damage,deteriorare țesut
270,en,ro-RO,tp shortage,penurie de hârtie igienică
271,en,ro-RO,toilet paper shortage,penurie de hârtie igienică
272,en,ro-RO,touch,atingere
273,en,ro-RO,touching,atingere
274,en,ro-RO,transmissibility,transmisibilitate
275,en,ro-RO,transmissible,transmisibil
276,en,ro-RO,transmission,transmitere
277,en,ro-RO,transmission potential,potențial de transmitere
278,en,ro-RO,typical flu,gripă comună
279,en,ro-RO,underlying disease,boală subiacentă
280,en,ro-RO,updates,noutăți
281,en,ro-RO,vaccine,vaccin
282,en,ro-RO,vaccines,vaccinuri
283,en,ro-RO,ventilation,ventilație
284,en,ro-RO,ventilator,ventilator
285,en,ro-RO,ventilators,ventilatoare
286,en,ro-RO,viral infection,infecție virală
287,en,ro-RO,viral outbreak,epidemie virală
288,en,ro-RO,viral pandemic,pandemie virală
289,en,ro-RO,viral pneumonia,pneumonie virală
290,en,ro-RO,virtual care,consultații online
291,en,ro-RO,virulence,virulență
292,en,ro-RO,virus itself,virus propriu-zis
293,en,ro-RO,virus outbreak,epidemie virală
294,en,ro-RO,virus scare,teamă de virus
295,en,ro-RO,virus spreads,răspândire virus
296,en,ro-RO,virus strain,tulpină de virus
297,en,ro-RO,viral transmission,transmitere virală
298,en,ro-RO,vivid-19,vivid-19
299,en,ro-RO,washing hands,spălarea mâinilor
300,en,ro-RO,washing ones hands,spălarea propriilor mâini
301,en,ro-RO,wash your hands,spală-te pe mâini
302,en,ro-RO,white blood cell count,număr de leucocite
303,en,ro-RO,widespread transmission,transmitere pe scară largă
304,en,ro-RO,working from home,lucru de acasă
305,en,ro-RO,WFH,WFH
306,en,ro-RO,Wuhan,Wuhan
