id,sourceLang,targetLang,sourceString,targetString
70,en,mg-MG,current outbreak,valan'aretina amin'izao fotoana izao
71,en,mg-MG,current pandemic,valan'aretina miparitaka amin'izao fotoana izao
72,en,mg-MG,CV,CV
73,en,mg-MG,CV-19,CV-19
74,en,mg-MG,deadly,mahafaty
75,en,mg-MG,deadly virus,tsimokaretina mahafaty
76,en,mg-MG,death rate,taham-pahafatesana
77,en,mg-MG,death toll,isan'ny maty
78,en,mg-MG,decontaminate,manisy fanafody
79,en,mg-MG,detectable,voatsirika
80,en,mg-MG,detergent,savony fanadiovana
81,en,mg-MG,difficulty breathing,sempotra
82,en,mg-MG,diabetes,diabeta
83,en,mg-MG,diagnosable disease,aretina azo fantarina
84,en,mg-MG,diagnostic protocol,rafitra arahina amin'ny fizahana aretina
85,en,mg-MG,diagnostic testing,fitsapana ny fizahana aretina
86,en,mg-MG,disease itself,ilay aretina
87,en,mg-MG,disease outbreak,valan'aretina
88,en,mg-MG,disinfectant,famonoana tsimokaretina
89,en,mg-MG,disposable,fanary
90,en,mg-MG,droplet transmission,fifindrana amin'ny alalan'ny piti-drora
91,en,mg-MG,droplets,piti-drora
92,en,mg-MG,dry cough,koho-maina
93,en,mg-MG,dry surface contamination,mifindra amin'ny faritra maina
94,en,mg-MG,ebola,ebola
95,en,mg-MG,effective treatment,fitsaboana mahomby
96,en,mg-MG,electron microscope,mikraoskaopy elektronika
97,en,mg-MG,emergency department,sampana vonjy taitra
98,en,mg-MG,epidemic,areti-mifindra
99,en,mg-MG,epidemic curve,kisary mampiseho ny areti-mifindra
100,en,mg-MG,epidemic peak,fotoana be areti-mifindra indrindra
101,en,mg-MG,epidemiologist,manam-pahaizana manokana momba ny areti-mifindra
102,en,mg-MG,exposure,fahavoazana
103,en,mg-MG,extreme caution,fampitandremana ambony indrindra
104,en,mg-MG,eye protection,fiarovana maso
105,en,mg-MG,face mask,sarom-bava
106,en,mg-MG,face masks,sarom-bava
107,en,mg-MG,family cluster,fianakaviana mivondrombondrona
108,en,mg-MG,fatality rate,taham-pahafatesana
109,en,mg-MG,fecal contamination,mifindra amin'ny alalan'ny maloton'olona
110,en,mg-MG,fever,fanaviana
111,en,mg-MG,flatten the infection curve,manatsara ny kisary mampiseho ny areti-mifindra
112,en,mg-MG,flu,gripa
113,en,mg-MG,food safety,fiarovana ny sakafo
114,en,mg-MG,formaldehyde,formaldehyde
115,en,mg-MG,gastroenteritis,vavony na tsinay mivaivay
116,en,mg-MG,germicide,mpamono mikraoba
117,en,mg-MG,global pandemic,areti-mifindra maneran-tany
118,en,mg-MG,global warming,fihafanan'ny tany
119,en,mg-MG,good respiratory hygiene,fitandremana ny fahasalaman'ny taovam-pisefoana
120,en,mg-MG,Guangdong,Guangdong
121,en,mg-MG,H1N1,H1N1
122,en,mg-MG,H1N1 virus,Tsimokaretina H1N1
123,en,mg-MG,hand disinfectant,famonoana tsimokaretina ahosotra ny tanana
124,en,mg-MG,hand sanitizer,fanadiovana tanana
125,en,mg-MG,health care provider,mpitsabo
126,en,mg-MG,health crisis,krizy ara-pahasalamana
127,en,mg-MG,health plan carrier,olona manana fiantohana ara-pahasalamana
128,en,mg-MG,health services,toeram-pitsaboana
129,en,mg-MG,heart failure,aretim-po
130,en,mg-MG,high fever,manavy be
131,en,mg-MG,HIV,VIH
132,en,mg-MG,hospitalize,miditra hopitaly
133,en,mg-MG,household bleach,rano zavely fampiasa an-trano
134,en,mg-MG,Hubei,Hubei
135,en,mg-MG,hydrogen peroxide,hydrogen peroxide
136,en,mg-MG,hygiene,fitandremam-pahasalamana
137,en,mg-MG,immune system,hery fiarovana
138,en,mg-MG,immunity,tsy handairan'aretina
139,en,mg-MG,immunocompromised,malemy hery fiarovana
140,en,mg-MG,immunologist,manampahaizana manokana momba ny hery fiarovana
141,en,mg-MG,incubation,famokarana
142,en,mg-MG,incubation period,fotoana famokarana
143,en,mg-MG,indirect contact,fifandraisana ankolaka
144,en,mg-MG,infect,mifindra
145,en,mg-MG,infection,aretina
146,en,mg-MG,infectious,aretina mifindra
147,en,mg-MG,infectivity,fomba fifindran'aretina
148,en,mg-MG,influenza,gripa
149,en,mg-MG,initial transmission event,fotoana nifindran'ny aretina voalohany
150,en,mg-MG,intensive care equipment,fitaovana fameloman'aina
151,en,mg-MG,intermediate host,olona mitondra ny otrikaretina
152,en,mg-MG,intrauterine,intra-utérine
153,en,mg-MG,intubation,intubation
154,en,mg-MG,isolation,fitokana-monina
155,en,mg-MG,Isopropanol,Isopropanol
156,en,mg-MG,laboratory test kit,fitiliana laboratoara maika
157,en,mg-MG,laboratory testing,fitiliana laboratoara
158,en,mg-MG,lack of testing,tsy fahampian'ny fitiliana
159,en,mg-MG,lack of tests,tsy fahampian'ny fitiliana
160,en,mg-MG,latest updates,vaovao farany
161,en,mg-MG,liver failure,fahasimban'ny aty
162,en,mg-MG,local public health authority,tompon'andraikitra misahana ny fasalamam-bahoaka
163,en,mg-MG,lockdown,fanidiana
164,en,mg-MG,lungs,havokavoka
165,en,mg-MG,masks,saro-tava
166,en,mg-MG,measles,kitrotro
167,en,mg-MG,mechanical ventilation,fidiran-drivotra mekanika
168,en,mg-MG,media coverage,fanaparitahana ny vaovao
169,en,mg-MG,medical care,fitsaboana
170,en,mg-MG,MERS,MERS
171,en,mg-MG,MERS CoV,MERS CoV
172,en,mg-MG,microbiologist,manam-pahaizana manokana momba ny zava-mananaina bitika
173,en,mg-MG,mild cough,kohoka malefaka
174,en,mg-MG,mortality rate,taham-pahafatesana
175,en,mg-MG,multi-organ failure,aretin'ny taova maromaro
176,en,mg-MG,nasal congestion,tsentsina
177,en,mg-MG,neutral detergent,savony fidiovana tsotra
178,en,mg-MG,new normal,fiainana an-davan'andro vaovao
179,en,mg-MG,novel corona virus,tantara mikasika ny tsimokaretina corona
180,en,mg-MG,novel coronavirus,tantara mikasika ny coronavirus
181,en,mg-MG,novel coronavirus outbreak,tantara mikasika ny valan'aretina coronavirus
182,en,mg-MG,novel virus,tantara mikisaka ny tsimokaretina
183,en,mg-MG,online medical consultation,fitsaboana amin'ny internet
184,en,mg-MG,onset,fiantombohana
185,en,mg-MG,outbreak,valan'aretina
186,en,mg-MG,outbreak readiness,fahavononana hiatrika valan'aretina
187,en,mg-MG,overall case fatality,taham-pahafatesan'ny olona marary amin'ny ankapobeny
188,en,mg-MG,pandemic,areti-mifindra
189,en,mg-MG,pangolin,pangolin
190,en,mg-MG,pathogen,mikraoba mitondra aretina
191,en,mg-MG,pathology,fanadiadiana ny mahatonga ny aretina
192,en,mg-MG,patient care equipment,fitaovana fitsaboana ny marary
193,en,mg-MG,personal protective equipment,fitaovana fiarovan-tena
194,en,mg-MG,person-to-person transmission,fifindrana avy amin'ny fifandraisana mivantana
195,en,mg-MG,phlegm,flegme
196,en,mg-MG,physical contact,fifampikasohana
197,en,mg-MG,plague,areti-mandringana
198,en,mg-MG,pneumonia,pnemonia
199,en,mg-MG,pneumonias,pnemonia
200,en,mg-MG,positive test,fitsapana miabo
201,en,mg-MG,precaution,fitandremana
202,en,mg-MG,precautionary,fitandremana
203,en,mg-MG,pre-existing condition,toe-javatra efa misy teo aloha
204,en,mg-MG,preparedness,fahavononana
205,en,mg-MG,prognosis,vinavina
206,en,mg-MG,protect myself,miaro ny tenako
207,en,mg-MG,protect others,miaro ny hafa
208,en,mg-MG,protect yourself,arovy ny tenanao
209,en,mg-MG,protective measures,fepetra fiarovan-tena
210,en,mg-MG,public health crisis,krizy amin'ny fahasalamam-bahoaka
211,en,mg-MG,pulmonary tissue damage,fahasimban'ny selan'ny havokavoka
212,en,mg-MG,quarantine,fanokanan-toerana
213,en,mg-MG,rapid risk assessment,fanombatombanana haingana ny loza mananotanona
214,en,mg-MG,reagent,réactif
215,en,mg-MG,regular flu,gripa tsotra
216,en,mg-MG,reinfection,niverenan'ny aretina
217,en,mg-MG,renal disease,aretin'ny voa
218,en,mg-MG,renal failure,fahasimban'ny voa
219,en,mg-MG,respirator,fisefoana
220,en,mg-MG,respiratory,taovam-pisefoana
221,en,mg-MG,respiratory disease,aretin'ny taovam-pisefoana
222,en,mg-MG,respiratory distress,fanaintainan'ny taovam-pisefoana
223,en,mg-MG,respiratory droplets,piti-drora avy amin'ny taovam-pisefoana
224,en,mg-MG,respiratory hygiene,fitandremana ny fahasalaman'ny taovam-pisefoana
225,en,mg-MG,respiratory illness,aretin'ny taovam-pisefoana
226,en,mg-MG,respiratory syndrome,vondron'aretina mpahazo ny taovam-pisefoana
227,en,mg-MG,respiratory tract disease,aretin'ny fantson'ny taovam-pisefoana
228,en,mg-MG,restrictions,faneriterena
229,en,mg-MG,resurge,miverina indray
230,en,mg-MG,RNA,RNA
231,en,mg-MG,rubeola,rubeola
232,en,mg-MG,runny nose,misy ranon-delo
233,en,mg-MG,SARS,SARS
234,en,mg-MG,SARS-CoV-2,SARS-CoV-2
235,en,mg-MG,SARS-CoV,SARS-CoV
236,en,mg-MG,sars-related coronavirus,sars vokatry ny coronavirus
237,en,mg-MG,seasonal flu,gripa mpintranga isan-taona
238,en,mg-MG,seasonal influenza,gripa mpitranga isan-taona
239,en,mg-MG,secretion,tsiranoka
240,en,mg-MG,self-quarantine,fanokanan-tena antsitra-po
241,en,mg-MG,sepsis,otrik'aretina azo avy amin'ny ratra
242,en,mg-MG,septic shock,otrak'aretina azo tampoka avy amin'ny ratra
243,en,mg-MG,Severe Acute Respiratory Syndrome,Vondron'aretina mahery vaika mpahazo ny taovam-pisefoana
244,en,mg-MG,shortness of breath,sempotra
245,en,mg-MG,sickened,mahaloiloy
246,en,mg-MG,sickness,aretina
247,en,mg-MG,sneeze,mihevona
248,en,mg-MG,sneezes,mihevona
249,en,mg-MG,sneezing,mihevona
250,en,mg-MG,social distancing,fiatahana amin'ny fiaraha-monina
251,en,mg-MG,sore throat,marary tenda
252,en,mg-MG,spanish flu,gripa espaniola
253,en,mg-MG,specimen collection,fanangonana sela andrana
254,en,mg-MG,spread,fiparitahana
255,en,mg-MG,sputum,rehoka
256,en,mg-MG,stigmatisation,fanilikilihana
257,en,mg-MG,supportive,manohana
258,en,mg-MG,surface,faritra
259,en,mg-MG,surfaces,faritra
260,en,mg-MG,suspected infection,ahiahiana ho misy aretina
261,en,mg-MG,swab,lamba fanadiovana
262,en,mg-MG,swine flu,gripa kisoa
263,en,mg-MG,symptom,famatarana
264,en,mg-MG,symptomatic,fampafatarana
265,en,mg-MG,symptoms,famatarana
266,en,mg-MG,targeted disinfection,famonoana tsimokaretina voakendry
267,en,mg-MG,test kit,fitiliana maika
268,en,mg-MG,testing error,fadisoana mandritran'ny fitiliana
269,en,mg-MG,tissue damage,fasimban'ny sela
270,en,mg-MG,tp shortage,tsy fahampian'ny taratasy fidiovana
271,en,mg-MG,toilet paper shortage,tsy fahampian'ny taratatsy fidiovana
272,en,mg-MG,touch,fikasihana
273,en,mg-MG,touching,fikasihana
274,en,mg-MG,transmissibility,fifindrana
275,en,mg-MG,transmissible,mifindra
276,en,mg-MG,transmission,fifindrana
277,en,mg-MG,transmission potential,mety mifindra
278,en,mg-MG,typical flu,gripa mahazatra
279,en,mg-MG,underlying disease,fototr'aretina
280,en,mg-MG,updates,vaovao farany
281,en,mg-MG,vaccine,vakisiny
282,en,mg-MG,vaccines,vakisiny
283,en,mg-MG,ventilation,fidiran-drivotra
284,en,mg-MG,ventilator,fitsofana
285,en,mg-MG,ventilators,fitsofana
286,en,mg-MG,viral infection,areti-mifindra
287,en,mg-MG,viral outbreak,valan'aretina
288,en,mg-MG,viral pandemic,areti-mifindra miparitaka
289,en,mg-MG,viral pneumonia,pnemonia avy amin'ny tsimokaretina
290,en,mg-MG,virtual care,fitsaboana virtoaly
291,en,mg-MG,virulence,heriny
292,en,mg-MG,virus itself,ilay tsimokaretina
293,en,mg-MG,virus outbreak,valan'aretina
294,en,mg-MG,virus scare,horohoro avy amin'ny tsimokaretina
295,en,mg-MG,virus spreads,fiparitahan'ny tsimokaretina
296,en,mg-MG,virus strain,tsimok'aretina
297,en,mg-MG,viral transmission,areti-mifindra avy amin'ny tsimokaretina
298,en,mg-MG,vivid-19,vivid-19
299,en,mg-MG,washing hands,manasa tanana
300,en,mg-MG,washing ones hands,manasa ny tananao
301,en,mg-MG,wash your hands,sasao ny tananao
302,en,mg-MG,white blood cell count,tahan'ny sela fotsy
303,en,mg-MG,widespread transmission,fiparitahan'ny areti-mifindra
304,en,mg-MG,working from home,miasa any an-trano
305,en,mg-MG,WFH,WFH
306,en,mg-MG,Wuhan,Wuhan
